#SubG n    Name                           MType      E(B-V)  (m-M)   E     e      D   E   e  D(MW) V(MW) D(M31) V(M31) D(LG) V(LG)  Vmag   E    e    Ell    VMag   E    e    R2   E   e      Mass    sigma*   E    e  vsini*   e     M.HI   sigHI   e    v.HI   e     Mdyn  [Fe/H]   e  
#                                                      mag    mag   mag   mag    kpc kpc kpc   kpc  km/s    kpc   km/s   kpc  km/s   mag  mag  mag          mag   mag  mag   pc   pc  pc   10+6Msun    km/s km/s km/s   km/s km/s  10+6Msun  km/s km/s   km/s km/s 10+6Msun  [Sun] [Sun]

MW   G    The-Galaxy                     S(B)bc     99.999  99.99 99.99 99.99  9999 999 999  9999  9999   9999   9999  9999  9999  99.9 99.9 99.9   0.00  999.9 99.9 99.9  9999 999 999  9999.99999   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  99.99 99.99
MW   G    Canis-Major                    na          0.264  14.29  0.30  0.30     7   1   1    13  -117    786   -185   394  -172  -0.1  0.8  0.8   0.80  -14.4  0.8  0.8  9999 999 999    49.00000   20.0  3.0  3.0   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -0.50  0.20
MW   G    Sagittarius-dSph               dSph        0.153  17.10  0.15  0.15    26   2   2    18   169    791    149   400   159   3.6  0.3  0.3   0.64  -13.5  0.3  0.3  2587 219 219    21.00000   11.4  0.7  0.7   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   190.00  -0.40  0.20
MW   G    Segue-(I)                      dSph        0.031  16.80  0.20  0.20    23   2   2    28   113    792     56   401    69  15.3  0.8  0.8   0.48   -1.5  0.8  0.8    29   8   5     0.00034    3.9  0.8  0.8   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     0.26  -2.72  0.40
MW   G    Ursa-Major-II                  dSph        0.094  17.50  0.30  0.30    32   4   4    38   -33    771     11   380    -3  13.3  0.5  0.5   0.63   -4.2  0.6  0.6   149  21  21     0.00410    6.7  1.4  1.4   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     3.90  -2.47  0.06
MW   G    Bootes-II                      dSph        0.031  18.10  0.06  0.06    42   1   1    40  -116    807   -174   416  -156  15.4  0.9  0.9   0.21   -2.7  0.9  0.9    51  17  17     0.00100   10.5  7.4  7.4   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     3.30  -1.79  0.05
MW   G    Segue-II                       dSph        0.185  17.70  0.10  0.10    35   2   2    41    43    753    141   361   112  15.2  0.3  0.3   0.15   -2.5  0.3  0.3    35   3   3     0.00086    3.4  2.5  1.2   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     0.23  -2.00  0.25
MW   G    Willman-1                      dSph        0.014  17.90  0.40  0.40    38   7   7    43    35    780     44   390    41  15.2  0.7  0.7   0.47   -2.7  0.8  0.8    25   6   6     0.00100    4.3  2.3  1.3   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     0.27  -2.10 99.99
MW   G    Coma-Berenices                 dSph        0.017  18.20  0.20  0.20    44   4   4    45    82    802     32   412    46  14.1  0.5  0.5   0.38   -4.1  0.5  0.5    77  10  10     0.00370    4.6  0.8  0.8   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9     0.94  -2.60  0.05
MW   G    Bootes-III                     dSph?       0.021  18.35  0.10  0.10    47   2   2    46   240    800    207   410   219  12.6  0.5  0.5   0.50   -5.8  0.5  0.5  9999 999 999     0.01700   14.0  3.2  3.2   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -2.10  0.20
