# dwarf data from Kirby 2014
#	kpc	kpc	kpc	1e6 Lsun	1e6 Lsun	1e6 Lsun	pc	pc	pc	km/s	km/s	km/s	1e6 Msun	1e6 Msun	1e6 Msun
#Galaxy	Distance	dist_err	dist_err	LV	LVerr	LVerr	rh	rherr	rherr	sigma_v	sigma_verr	sigma_verr	M12	M12err	M12err
Name,	Dist,	derr,	derr,	LV,	LVerr,	LVerr,	rh,	rherr,	rherr,	sigmav,	sverr,	sverr,	M,	Merr,	Merr
#
# Isolated
#
IC1613	758	4	4	100	20	10	1040	65	65	10.8	1.0	0.9	110	20	20
NGC6822	459	8	8	98	18	18	478	28	28	23.2	1.2	1.2	240	30	20
VV124	1361	25	25	9.0	1.8	1.5	272	27	27	9.6	1.3	1.2	23	7	6
Pegasus920	920	29	29	6.6	1.4	1.2	695	37	37	12.3	1.2	1.1	130	10	10
LeoA	787	4	4	6.0	1.4	1.2	354	19	19	6.7	1.4	1.2	15	6	5
Cetus	779	43	43	3.0	0.6	0.6	612	38	38	8.3	1.0	1.0	40	10	9
Aquarius	1071	39	39	1.2	0.1	0.1	342	15	15	7.9	1.9	1.6	20	10	8
#
# Isolated (literature)
#
WLM	933	34	34	43	5	5	1569	74	74	17.0	1.0	1.0	630	30	30
Tucana	887	49	49	0.59	0.12	0.12	209	34	34	15.8	4.1	3.1	71	12	12
LeoT	398	36	36	0.14	0.04	0.04	114	12	12	7.5	1.6	1.6	6.0	2.6	2.6
#
# Milky Way												
#
Sagittarius	26	1	1	21	6	6	1551	118	118	9.9	0.7	0.7	140	20	20
Fornax	147	9	9	20	6	6	710	70	70	11.8	0.2	0.2	91	10	10
LeoI	253	15	15	5.6	1.5	1.5	250	26	26	8.8	0.5	0.5	18	3	3
Sculptor	85	4	4	2.3	1.1	1.1	282	42	42	9.2	0.2	0.2	22	4	4
LeoII	233	13	13	0.75	0.21	0.21	176	42	42	6.6	0.7	0.7	7.1	2.3	2.3
Sextans	85	3	3	0.44	0.20	0.20	694	43	43	7.9	0.4	0.4	40	4	5
Carina	106	7	7	0.37	0.17	0.17	254	40	40	6.7	0.3	0.3	11	2	2
UrsaMinor	75	3	3	0.27	0.13	0.13	180	27	27	9.5	1.2	1.2	15	4	4
Draco	75	5	5	0.27	0.05	0.05	220	16	15	9.1	1.2	1.2	17	5	5
Can.Ven.I	217	23	23	0.24	0.05	0.07	564	64	64	7.6	0.4	0.4	30	5	5
#
# M31
#
NGC185	619	19	17	68	9	8	459	91	90	24.0	1.0	1.0	290	60	60
NGC147	711	19	19	62	8	7	655	104	104	16.0	1.0	1.0	240	40	40
AndVII	762	35	35	17	5	5	731	36	36	13.0	1.0	1.0	110	20	20
AndII	630	14	14	8.6	1.6	1.6	1027	30	30	7.8	1.1	1.1	110	0	0
AndI	727	16	16	4.5	0.5	0.5	592	25	25	10.2	1.9	1.9	57	22	22
AndVI	783	25	25	3.4	0.7	0.7	410	20	20	12.4	1.5	1.3	59	14	13
LGS3	769	24	24	1.1	0.1	0.1	469	47	47	7.9	5.3	2.9	27	37	20
AndXXIII	748	31	20	0.97	0.45	0.45	1001	60	51	7.1	1.0	1.0	47	14	13
AndIII	724	16	23	0.93	0.26	0.26	337	19	20	9.3	1.4	1.4	27	8	8
AndXXI	827	22	26	0.78	0.43	0.43	842	75	77	7.2	5.5	5.5	-150	nan	nan
AndXXV	734	23	71	0.53	0.24	0.24	640	47	75	3.0	1.2	1.1	5.4	4.3	4.0
AndV	741	20	23	0.52	0.10	0.10	280	19	20	10.5	1.1	1.1	29	6	6
AndXV	625	74	34	0.49	0.18	0.18	220	27	15	4.0	1.4	1.4	3.3	2.3	2.3
AndXIX	820	30	162	0.45	0.25	0.25	1479	59	293	4.7	1.6	1.4	30	21	19
AndXVI	476	41	30	0.41	0.15	0.15	123	12	10	3.8	2.9	2.9	-5.9	nan	nan
AndXXVII	1253	40	594	0.28	0.13	0.13	656	111	329	14.8	4.3	3.1	130	80	90
AndXVII	727	36	26	0.24	0.07	0.07	262	21	19	2.9	2.2	1.9	-7.3	nan	nan
AndXIV	794	21	204	0.24	0.23	0.09	392	185	210	5.3	1.0	1.0	10	6	7
AndXXVIII	660	152	60	0.21	0.2	0.08	213	63	44	4.9	1.6	1.6	4.8	3.4	3.3
AndXXIX	731	74	74	0.18	0.07	0.07	361	56	56	5.7	1.2	1.2	11	5	5
AndIX	599	85	22	0.15	0.01	0.05	432	64	87	10.9	2.0	2.0	48	19	20
AndXXX	682	31	81	0.13	0.06	0.03	267	26	48	11.8	7.7	4.7	35	45	28
